fraud_bool,income,name_email_similarity,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,zip_count_4w,velocity_24h,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,keep_alive_session,device_distinct_emails_8w,month,payment_type_AA,payment_type_AB,payment_type_AC,payment_type_AD,payment_type_AE,employment_status_CA,employment_status_CB,employment_status_CC,employment_status_CD,employment_status_CE,employment_status_CF,employment_status_CG,housing_status_BA,housing_status_BB,housing_status_BC,housing_status_BD,housing_status_BE,housing_status_BF,housing_status_BG,source_INTERNET,source_TELEAPP,device_os_linux,device_os_macintosh,device_os_other,device_os_windows,device_os_x11
0,0.9,0.6427134080995496,0.0,20,0.0096238463432985,105.89806663653856,1724,7394.902554320819,8,207,1,1,1,11.0,1,500.0,0,0,1.0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0.9,0.7200644275993185,200.0,40,0.0070183713023812,33.0062026528971,1986,5416.6019900545925,5,113,1,0,0,9.0,0,200.0,0,1,1.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0.9,0.075432128609744,129.0,40,0.0097641996307557,-0.6324475570287883,2411,7423.819019051278,7,189,1,0,1,10.0,1,1500.0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.5,0.7843439369775138,240.0,20,0.0172814141949591,-1.6127531897512402,1731,4489.610329297303,8,196,0,1,1,1.0,0,1500.0,0,1,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0.8,0.7704352306659924,150.0,40,9.370345811083777,26.73386685875597,1863,6301.0970605657385,7,88,0,0,1,21.0,0,200.0,0,0,1.0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.8,0.0968777885355558,6.0,50,0.000560337170577,99.09881813437389,1216,4266.438392770172,3,76,0,0,1,20.0,0,200.0,0,1,1.0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0.8,0.0742741723727385,195.0,40,0.0169696651940613,-1.0580000739894748,1584,4598.285294131541,8,171,1,0,1,1.0,1,1500.0,0,0,1.0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.6000000000000001,0.1897466350209264,14.0,40,0.0531993009188753,108.3407678198539,299,5495.661493874844,3,253,1,0,1,5.0,0,1500.0,0,0,1.0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0.8,0.2768744564263939,233.0,40,8.618922800358634,-0.6838300076947231,1200,4907.083457174663,11,170,1,0,1,1.0,0,200.0,0,1,1.0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0.1,0.8693019408984336,196.0,20,0.0282503010616043,-0.9792213479151672,578,7686.967650357147,12,123,1,0,1,1.0,0,1000.0,0,1,1.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
